Country Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Burkina Faso,457.3420749,516.7503285,621.8902718,603.8775456,627.2703957,727.6124745,733.9728796,762.3037801,767.3713441,632.1266858,665.7863286,711.1845434,779.2027686,765.2295604,823.5524109,888.7810788,830.0371503
Bangladesh,503.5383322,552.3389345,630.1089792,698.520945,776.8595769,856.3818868,876.8180104,973.7739043,1108.514957,1236.004392,1659.962496,1815.610262,1963.412492,2122.078397,2233.305901,2457.924039,2688.305501
Bulgaria,4523.146558,5888.776852,7271.303389,6988.273163,6863.667068,7857.16707,7430.73738,7687.713682,7912.274844,7078.860323,7570.931655,8381.881346,9447.655897,9874.336326,10148.3424,12219.34187,13974.44925
Bahrain,19057.7989,20883.54803,23155.82145,19448.18326,21186.81433,23741.55746,25102.72635,25790.73031,25464.7601,22795.44886,22867.18112,24349.90987,25415.84662,25869.11291,23433.18724,26850.00339,30146.92503
"Bahamas, The",28829.84938,29687.86522,29013.63029,27120.69055,27046.65767,26644.92658,28059.39366,26955.78893,28203.35568,29724.95334,29675.53589,30708.98702,31483.97884,32279.01136,23998.26802,28260.43255,31458.30081
Bosnia and Herzegovina,3170.174783,3936.931747,4846.790941,4542.311673,4506.932352,4980.904688,4688.345823,5025.241753,5196.970084,4654.60862,4917.263766,5327.392304,6024.49315,6094.724823,6095.104237,7230.198838,7568.79848
Belarus,3848.223503,4735.481076,6376.175692,5352.488092,6034.678852,6527.659343,6953.215917,7998.080205,8341.290143,5967.06856,5039.775609,5785.533977,6360.053101,6837.768321,6542.86454,7489.718947,7888.263711
Belize,5486.831434,5717.92962,5665.966232,5352.095987,5399.062096,5519.339008,5635.521526,5865.470902,6031.548402,6098.60008,6099.957102,6049.391948,6001.024262,6134.215233,5185.15807,6060.968223,6984.21696
Bermuda,95221.85887,104287.3875,106935.4863,101407.764,101875.2841,97774.16207,98431.86518,99471.6389,98467.68399,102005.6256,106885.8785,111820.5815,113050.7369,116153.1661,107791.8864,111774.6691,118774.7907
Bolivia,1200.068042,1351.035182,1687.578497,1725.146286,1922.058571,2304.982462,2562.466784,2853.797162,3022.462884,2975.648811,3013.502707,3280.008214,3471.006951,3472.380831,3068.812555,3345.023002,3600.121635
Brazil,5866.023414,7323.191594,8801.757876,8569.902547,11249.29189,13200.55623,12327.5131,12258.56571,12071.40446,8783.215424,8680.736469,9896.718895,9121.020995,8845.324149,6923.699912,7696.78483,8917.674911
Barbados,15595.6365,17219.02123,17551.85504,16309.88601,16494.24304,16902.49232,16704.92438,16923.59092,16964.75226,17023.69436,17381.36509,17881.56325,18271.25225,19063.10229,16882.50152,17507.46799,20238.78424
Brunei Darussalam,30767.75383,32337.27437,37427.54006,27497.54687,34609.71198,46139.10758,46844.19734,43950.04546,41035.77712,30681.43397,26762.03504,28186.98674,31240.50179,30748.30924,27179.35289,31448.91275,37152.47697
Bhutan,1299.631259,1714.031085,1780.112232,1768.745945,2194.125876,2491.273439,2470.072151,2409.440006,2589.89916,2695.636924,2879.546564,3427.173845,3389.777303,3564.598772,3181.339747,3560.197705,
Botswana,5142.913834,5372.340732,5345.848752,4938.249906,6041.732051,7080.778643,6392.987347,6436.603319,6844.03325,5869.737579,6411.551666,6705.341062,6947.817841,6691.161053,5875.070606,7238.796098,7738.878804
Central African Republic,340.4145171,388.4777717,446.2287704,452.9222365,459.7769818,515.2095035,525.867504,352.2268549,394.856933,351.8797548,372.1354561,414.7403223,435.9322966,426.4087531,435.4692478,461.137511,427.0580962
Canada,40504.06073,44659.89514,46710.50558,40876.31015,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,42315.60371,45129.4293,46548.63841,46374.15275,43562.43583,52515.19984,55522.44569
Central Europe and the Baltics,9469.733136,12009.67771,14577.94561,12307.63568,12607.86047,13964.09383,13075.40262,13667.03547,14142.31873,12526.59301,12783.18084,14223.33868,16078.20726,16349.94583,16297.9641,18814.14582,19420.96441
Switzerland,59011.03246,64989.15533,74175.19279,71568.31239,76531.37294,90476.75897,85836.20768,87304.33058,88724.99094,83806.4476,82153.07454,82254.37693,85217.36915,84121.93103,85897.78433,93446.43445,93259.90572
Channel Islands,63665.31535,75148.34944,,,,,,,,,58093.99606,57683.8939,62316.21995,61281.32722,57339.52687,67960.727,
Chile,9418.274924,10456.83238,10797.04737,10204.55885,12764.59312,14637.75617,15397.78046,15842.15916,14675.15087,13567.35722,13788.24002,15034.05843,15820.03336,14632.69031,13173.78479,16240.60778,15355.47974
China,2099.21943,2693.958732,3468.327063,3832.227457,4550.473944,5614.386022,6300.58218,7020.386074,7636.07434,8016.445595,8094.390167,8817.045608,9905.406383,10143.86022,10408.71955,12617.5051,12720.21632
Cote d'Ivoire,1303.564967,1451.232531,1683.337505,1638.804684,1654.177959,1701.704641,1649.301615,1903.054229,2124.01943,1941.581898,1999.195372,2113.341525,2295.540335,2290.787379,2349.069882,2613.378893,2486.412194
Cameroon,1177.968605,1311.002964,1476.009079,1445.860249,1383.813865,1497.926585,1433.723928,1559.139049,1631.713985,1399.675336,1426.065481,1479.862222,1594.06011,1538.687912,1539.130545,1654.257037,1563.48894
