Country Name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Czechia,7.93,7.14,5.32,4.39,6.66,7.28,6.71,6.98,6.95,6.11,5.05,3.95,2.89,2.25,2.02,2.55,2.8,2.22
Germany,11.17,10.25,8.66,7.52,7.74,6.97,5.82,5.38,5.23,4.98,4.62,4.12,3.75,3.38,3.14,3.86,3.64,3.14
Djibouti,26.815,26.707,26.562,26.391,26.578,26.624,26.526,26.324,26.266,26.273,26.105,25.972,26.06,26.218,26.307,27.848,27.963,26.666
Dominica,,,,,,,,,,,,,,,,,,
Denmark,4.83,3.9,3.8,3.68,6.41,7.75,7.77,7.8,7.38,6.93,6.28,5.99,5.83,5.13,5.02,5.64,5.04,4.43
Dominican Republic,6.59,5.65,5.16,4.76,5.47,5.21,6.09,6.72,7.35,6.72,7.61,7.28,5.83,5.86,6.18,6.13,7.7,5.504
Algeria,15.27,12.27,13.79,11.33,10.16,9.96,9.96,10.97,9.82,10.21,11.21,10.2,12,12.145,12.275,14.036,13.729,12.491
East Asia & Pacific (excluding high income),4.47748878,4.371672453,4.35127738,4.434980808,4.420541747,4.158446769,4.109698693,4.049434419,4.050905048,4.047005699,4.121217771,4.039131557,3.917134082,3.810807486,3.896864976,4.373733073,4.128366909,4.237400493
Early-demographic dividend,7.538828962,7.244794149,7.153639784,7.043422353,7.12497938,6.942170399,6.805423214,6.846166752,6.781468055,6.711832262,6.859060241,6.766900542,6.689852513,6.700349357,6.227212106,7.264358478,6.647944619,5.549245099
East Asia & Pacific,4.466448638,4.344074908,4.295801382,4.375142935,4.456934166,4.210146428,4.123517445,4.055604356,4.041017925,4.022670807,4.089824255,4.000693756,3.870993485,3.752488359,3.818123972,4.305246853,4.061667887,4.106946162
Europe & Central Asia (excluding high income),8.580837551,8.064921293,7.282658552,7.273273408,9.002528531,8.358791926,7.70540704,7.109038015,7.131710954,7.358546596,7.485252822,7.506351019,7.293525728,6.946138311,7.08718141,7.623513211,7.134876404,5.881931604
Europe & Central Asia,8.735705697,8.086326075,7.170485468,7.075627308,8.906486273,8.980657876,8.728095842,8.943919928,9.146827281,8.893206114,8.505423386,8.037453822,7.431476958,6.833688847,6.588949108,7.05112568,6.871953065,5.821094361
Ecuador,3.78,3.55,3.14,3.92,4.61,4.09,3.46,3.23,3.08,3.48,3.62,4.6,3.84,3.53,3.81,6.13,4.55,3.76
"Egypt, Arab Rep.",11.05,10.49,8.8,8.52,9.09,8.76,11.85,12.6,13.15,13.1,13.05,12.45,11.77,9.86,7.85,7.97,7.44,6.397
Euro area,9.094315746,8.380269469,7.498819475,7.540230622,9.604547668,10.14024113,10.18256075,11.36631836,11.91395296,11.55982553,10.82699235,9.995018068,9.029725671,8.153499762,7.514170342,7.826418462,7.729451504,6.745561916
Eritrea,5.933,5.941,5.958,5.908,5.997,6.105,6.023,5.889,5.839,5.862,5.991,6.044,6.073,5.931,5.934,6.453,6.511,5.974
Spain,9.15,8.45,8.23,11.25,17.86,19.86,21.39,24.79,26.09,24.44,22.06,19.64,17.22,15.25,14.1,15.53,14.78,12.92
Estonia,8.03,5.91,4.59,5.45,13.55,16.71,12.33,10.02,8.63,7.35,6.19,6.76,5.76,5.37,4.45,6.8,6.18,5.57
Ethiopia,2.5,2.31,2.317,2.311,2.318,2.285,2.262,2.245,2.25,2.347,2.409,2.509,2.605,2.745,2.85,3.906,3.93,3.415
European Union,9.626236403,8.675485445,7.496442582,7.247622815,9.175300701,9.854141601,9.894512011,10.86747469,11.32025074,10.81710378,10.01862468,9.103596124,8.119772494,7.250927175,6.673522308,7.041701934,7.02091554,6.148595222
Fragile and conflict affected situations,5.237807759,5.088003556,5.013317477,5.054902829,5.14085302,5.216915974,5.260903549,5.371195924,5.393637096,5.547563176,5.635682728,5.80187402,6.043373109,6.04885264,6.077449277,6.930081233,7.119994662,6.138846047
Finland,8.38,7.72,6.85,6.37,8.25,8.39,7.78,7.69,8.19,8.66,9.38,8.82,8.64,7.36,6.69,7.76,7.61,6.72
Fiji,3.89,3.961,4.107,4.186,4.306,4.346,4.41,4.378,4.359,4.327,4.293,4.32,4.326,4.336,4.374,4.733,4.797,4.562
France,8.88,8.83,8.01,7.39,9.12,9.28,9.23,9.84,9.91,10.27,10.35,10.06,9.41,9.02,8.41,8.01,7.86,7.31
Faroe Islands,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,
Gabon,16.91,17.858,18.244,19.267,19.776,20.39,19.764,19.47,19.562,19.732,19.82,20.041,20.283,20.479,20.369,21.432,21.411,20.61
United Kingdom,4.75,5.35,5.26,5.62,7.54,7.79,8.04,7.88,7.52,6.11,5.3,4.81,4.33,4,3.74,4.472,4.826,3.73
Georgia,13.81,13.57,13.28,17.87,20.71,20.2,19.63,19.65,19.42,17.44,16.51,16.6,13.94,12.67,11.57,11.73,11.851,11.683
Ghana,5.814,4.9,5.121,5.143,5.379,5.38,4.191,3.102,2.17,4.387,6.81,5.295,3.37,3.254,3.17,3.419,3.557,3.518
Gibraltar,,,,,,,,,,,,,,,,,,
Guinea,4.999,5.071,4.891,4.894,5.085,5.266,5.246,4.919,5.026,5.195,5.379,5.053,4.771,4.705,5.02,6.064,5.97,5.526
"Gambia, The",9.786,10.208,10.454,9.975,9.6,9.464,10.255,10.35,9.526,8.202,7.278,6.331,5.16,4.13,4.037,4.763,4.715,4.265
Guinea-Bissau,3.27,3.244,3.239,3.258,3.243,3.223,3.148,3.231,3.255,3.376,3.246,3.199,3.123,3.2,3.229,3.72,3.812,3.24
Equatorial Guinea,8.214,8.124,8.071,8.04,8.211,8.394,8.339,8.186,8.093,8.07,8.185,8.257,8.334,8.244,8.327,9.034,9.187,8.584
Greece,10.07,8.91,8.35,7.66,9.55,12.72,17.97,24.73,27.69,26.71,24.98,23.51,21.41,19.18,17.04,15.9,14.66,12.43
Grenada,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,
Guatemala,3.06,2.953,2.832,2.882,3.214,3.5,3.169,2.76,3.02,2.72,2.51,2.58,2.46,2.28,2.19,2.88,2.17,3.05
Guam,7,7.4,8.3,8.897,9.3,8.2,13.3,12.2,11.5,7.6,6.9,5.4,5.417,5.449,5.399,6.248,6.002,5.569
Guyana,11.075,10.7,10.883,11.098,11.412,11.758,11.971,12.224,12.522,12.889,13.286,13.577,13.822,14.02,13.52,15.69,14.98,12.301
High income,6.756711194,6.22270989,5.676355928,5.922256674,8.011764073,8.282953972,7.968722187,8.006125636,7.892631356,7.279374032,6.687665487,6.196925541,5.630298564,5.107515245,4.7922992,6.563150064,5.65961414,4.570192199
"Hong Kong SAR, China",5.58,4.77,4.01,3.56,5.26,4.33,3.42,3.29,3.4,3.3,3.31,3.39,3.12,2.81,2.92,5.81,5.17,4.32
Honduras,4.91,3.57,3.21,3.16,3.29,4.12,4.47,3.75,5.65,7.08,6.15,6.73,5.53,5.62,5.55,10.68,8.23,6.998
Heavily indebted poor countries (HIPC),4.778078744,4.697003711,4.646747196,4.621739317,4.697802743,4.906372567,4.873132606,4.695994329,4.472601561,4.477279628,4.62860676,4.614070456,4.659282721,4.581951874,4.596224701,5.408333879,5.373994267,4.880488592
Croatia,12.6,11.13,9.91,8.53,9.2,11.62,13.68,15.93,17.25,17.29,16.18,13.1,11.21,8.43,6.62,7.51,7.61,6.96
Haiti,14.6,15.926,16.8,16.191,15.33,15.256,14.476,14.1,13.62,13.802,13.717,13.858,13.835,13.896,14.089,15.646,15.558,14.776
Hungary,7.19,7.49,7.41,7.82,10.03,11.17,11.03,11,10.18,7.73,6.81,5.11,4.16,3.71,3.42,4.25,4.05,3.61
IBRD only,6.93121116,6.674876301,6.478333548,6.426825971,6.727745546,6.494753384,6.358818369,6.248686236,6.235919824,6.216034193,6.340118126,6.4384254,6.387480896,6.254163888,6.034856723,6.909280777,6.277985162,5.528699831
IDA & IBRD total,6.413816268,6.172518579,6.00842991,5.975135507,6.226763772,6.018828556,5.912195215,5.88771281,5.840603129,5.797496633,5.955138228,6.0080796,6.008670792,5.917065635,5.767505369,6.62660236,6.16185524,5.425599322
IDA total,4.212386305,4.055861035,4.046646441,4.112002827,4.187020132,4.112172066,4.146643482,4.478378355,4.319394173,4.206451098,4.514223953,4.422148557,4.641907342,4.722853381,4.83836744,5.678132207,5.774481467,5.088067755
IDA blend,2.953533738,2.842150149,2.687776231,2.731791676,2.795980233,2.84751864,2.877601718,3.911923808,3.631809213,3.277831651,4.017842942,3.707702622,4.322095945,4.795096083,5.155727219,5.985390407,5.958835871,5.067873532
Indonesia,7.94,7.55,8.06,7.21,6.11,5.61,5.15,4.47,4.34,4.05,4.51,4.3,3.78,4.39,3.59,4.25,3.83,3.46
IDA only,4.775665209,4.598954213,4.657324938,4.734413997,4.818558703,4.690216851,4.727868693,4.739002495,4.635898934,4.631812925,4.742873869,4.749003822,4.786541304,4.690400125,4.695524102,5.539614653,5.690713572,5.097257114
Isle of Man,,,,,,,,,,,,,,,,,,
India,8.7,8.618,8.537,8.463,8.383,8.3,8.215,8.138,8.06,7.976,7.891,7.808,7.728,7.65,6.51,7.86,6.38,4.822
Not classified,,,,,,,,,,,,,,,,,,
Ireland,4.34,4.41,4.98,6.77,12.61,14.53,15.35,15.45,13.73,11.86,9.91,8.37,6.71,5.74,4.95,5.62,6.19,4.48
"Iran, Islamic Rep.",11.81,11.52,10.77,10.63,12.11,13.68,12.49,12.27,10.6,10.68,11.17,12.62,12.23,12.19,10.74,9.69,9.28,8.815
Iraq,8.587,8.436,8.65,8.475,8.405,8.257,8.171,7.96,9.215,10.59,10.82,10.82,13.02,13.449,14,15.746,16.17,15.322
Iceland,2.55,2.83,2.25,2.95,7.22,7.56,7.03,6,5.38,4.9,3.98,2.98,2.74,2.7,3.51,5.48,6.03,3.79
Israel,11.34,10.71,9.38,7.7,9.53,8.48,7.14,6.76,6.14,5.79,5.18,4.72,4.14,3.92,3.73,4.17,4.81,3.695
Italy,7.73,6.78,6.08,6.72,7.75,8.36,8.36,10.65,12.15,12.68,11.9,11.69,11.21,10.61,9.95,9.16,9.5,8.07
Jamaica,6.605,6.626,6.619,6.67,7.31,7.63,8.03,8.69,9.7,9.05,8.824,8.63,7.4,5.47,4.99,6.5,6.156,5.499
Jordan,14.8,14,13.1,12.7,12.9,12.5,12.9,12.2,12.6,11.9,13.08,15.28,18.12,18.26,16.8,19.21,19.84,19.191
Japan,4.45,4.19,3.89,4,5.07,5.1,4.55,4.36,4.04,3.59,3.39,3.13,2.82,2.47,2.35,2.81,2.83,2.6
Kazakhstan,8.13,7.79,7.26,6.63,6.55,5.77,5.39,5.29,5.2,5.06,4.93,4.96,4.9,4.85,4.8,4.89,5.572,4.86
Kenya,2.757,2.66,2.615,2.771,2.865,2.831,2.692,2.659,2.778,2.782,2.771,2.76,3.56,4.296,5.01,5.628,5.69,5.644
Kyrgyz Republic,2.363,2.467,2.562,2.644,2.742,2.86,2.965,3.073,3.148,3.254,3.346,3.465,3.566,3.67,4.25,4.63,4.1,4.017
Cambodia,1.071,1.158,1.26,0.82,0.58,0.77,0.58,0.499,0.44,0.69,0.39,0.72,0.14,0.128,0.116,0.17,0.4,0.226
Kiribati,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,
"Korea, Rep.",3.48,3.25,3.01,2.96,3.36,3.32,2.99,2.81,2.75,3.08,3.55,3.65,3.65,3.82,3.75,3.93,3.64,2.86
Kuwait,1.452,1.3,1.5,1.75,1.64,1.82,2.076,2.256,2.511,2.9,2.2,2.16,2.204,2.185,2.213,3.454,2.943,2.198
Latin America & Caribbean (excluding high income),8.036063646,7.477971923,7.153003799,6.760676483,7.760093196,7.136759326,6.645993446,6.376511076,6.292718791,6.100485149,6.702415926,7.905399922,8.230205856,8.088574076,8.126488371,10.27346599,9.271610407,6.896188461
Lao PDR,1.35,1.199,1.067,0.943,0.834,0.71,1.059,1.404,1.762,2.123,2.496,2.883,3.27,3.308,3.364,3.862,4.15,3.819
Lebanon,8.24,8.648,8.98,7.662,6.35,6.778,7.308,7.847,8.341,8.742,9.212,9.694,10.168,10.656,11.3,13.274,12.777,11.747
Liberia,2.445,2.282,2.233,2.221,2.243,2.27,2.212,2.143,2.078,2.08,2.555,3.08,3.065,3.055,3.067,4.124,3.961,3.025
Libya,18.738,18.833,18.803,18.983,19.149,19.168,19.379,19.03,19.387,19.369,19.685,19.421,18.964,18.828,18.974,19.708,19.71,19.302
St. Lucia,18.7,16,14,12.72,15.37,17.118,18.86,19.06,22.21,21.555,20.789,19.749,18.89,19.12,15.34,20.41,19.58,15.77
Latin America & Caribbean,8.232478327,7.607278657,7.222200962,6.836566915,7.810883964,7.211875402,6.707647179,6.422712956,6.37553814,6.181238465,6.681719541,7.747100597,8.038267353,7.940316059,8.008157429,10.21056178,9.199769867,6.906090691
Least developed countries: UN classification,4.827331393,4.722610706,4.792247526,4.847296606,4.966647908,4.854880452,4.959067343,4.952898714,4.928936947,4.880038192,4.962446586,5.060507103,5.15929058,5.046112925,5.048434785,5.8644213,6.027637357,5.360383574
Low income,4.616460914,4.604932596,4.640770308,4.759793594,4.681484619,4.829006748,4.876345272,5.021503322,4.910529577,4.902341226,5.021771165,5.14475099,5.268949197,5.22512571,5.240969199,6.04080789,6.107516085,5.612427237
Liechtenstein,,,,,,,,,,,,,,,,,,
Sri Lanka,7.67,6.5,5.97,5.22,5.85,4.78,4.12,3.88,4.19,4.16,4.52,4.24,4.05,4.32,4.67,5.36,5.306,6.178
Lower middle income,6.881609851,6.6917359,6.557652285,6.490784529,6.597080196,6.459749327,6.476651708,6.5907679,6.460070067,6.401145928,6.533062561,6.430624904,6.481093603,6.382437709,5.84883986,6.859759687,6.236912862,5.009236206
Low & middle income,6.264437618,6.062622965,5.940708739,5.932324275,6.169245077,5.952353413,5.849401062,5.826624652,5.772851788,5.740309175,5.915761773,5.986170525,5.999610479,5.914498527,5.764750751,6.608605153,6.14680239,5.415059933
Lesotho,15.965,15.993,15.826,15.691,16.071,16.001,16.069,15.555,15.791,15.993,16.222,16.097,16.447,16.675,16.88,18.456,18.452,16.745
Late-demographic dividend,5.607083104,5.35866764,5.097139811,5.125741395,5.553814493,5.227492943,5.096874902,5.013007936,4.994886012,4.924628582,5.098645295,5.271920559,5.268450764,5.048768883,5.188960662,5.938597924,5.51901276,5.217253202
Lithuania,8.32,5.78,4.25,5.83,13.79,17.81,15.39,13.36,11.77,10.7,9.12,7.86,7.07,6.15,6.26,8.49,7.11,5.96
Luxembourg,4.49,4.73,4.07,5.06,5.12,4.36,4.9,5.14,5.85,5.85,6.67,6.29,5.52,5.59,5.59,6.77,5.25,4.58
Latvia,10.03,7.03,6.05,7.74,17.51,19.48,16.21,15.05,11.87,10.85,9.87,9.64,8.72,7.41,6.31,8.1,7.51,6.81
"Macao SAR, China",4.16,3.82,3.27,3,3.58,2.84,2.56,1.97,1.82,1.67,1.81,1.94,1.99,1.83,1.75,2.57,2.24,2.414
St. Martin (French part),,,,,,,,,,,,,,,,,,
Morocco,11.01,9.67,9.56,9.57,8.96,9.09,8.91,8.99,9.23,9.7,9.46,9.3,9.687,9.729,9.668,11.726,11.219,9.992
Monaco,,,,,,,,,,,,,,,,,,
Moldova,5.63,4.26,2.75,2.1,3.02,2.97,2.68,2.19,1.89,1.45,1.78,1.59,1.62,1.24,1.5,1.21,0.79,0.91
Madagascar,2.62,2.944,3.173,3.363,3.861,4.28,2.547,0.6,0.999,1.388,1.79,1.769,1.764,1.765,1.762,2.21,2.246,1.899
Maldives,7.395,8.484,9.553,10.604,11.7,10.848,10,9.148,8.303,7.46,6.614,5.77,5.368,4.962,4.56,5.477,5.116,4.385
Middle East & North Africa,10.83655775,10.14830426,9.619598428,9.275078871,9.421984332,9.5850389,10.105065,10.43925608,10.17834056,10.27389864,10.53875626,10.61071419,10.82972725,10.43412089,9.781532568,10.58200849,10.25684574,9.432254966
Mexico,3.56,3.57,3.63,3.87,5.36,5.3,5.17,4.89,4.91,4.81,4.31,3.85,3.42,3.27,3.48,4.44,4.09,3.26
Marshall Islands,,,,,,,,,,,,,,,,,,
Middle income,6.388832746,6.174101762,6.04132738,6.024430739,6.287823682,6.043390245,5.929549124,5.89375328,5.845799509,5.812253825,5.993431418,6.060661901,6.065623288,5.977994345,5.813925232,6.66367912,6.150645645,5.395349882
North Macedonia,37.32,36.39,35.23,33.93,32.35,33.13,31.5,31.2,29.14,28.38,26.43,24.3,22.81,21.2,17.39,16.55,15.78,14.43
Mali,1.351,1.429,1.401,1.436,1.438,1.412,1.444,1.555,1.622,1.55,1.426,1.37,1.496,1.62,2.345,3.53,2.44,3.141
Malta,6.92,6.8,6.47,5.98,6.89,6.85,6.38,6.2,6.11,5.72,5.38,4.69,4,3.66,3.62,4.35,3.39,2.92
Myanmar,0.687,0.685,0.689,0.698,0.709,0.719,0.733,0.75,0.759,0.755,0.77,1.049,1.36,0.77,0.41,1.48,4.34,2.956
Middle East & North Africa (excluding high income),11.76506205,11.01482365,10.5509926,10.35042675,10.50134673,10.77014549,11.49588939,12.01924888,11.76203109,11.90547778,12.3646437,12.51195861,12.75953918,12.30289307,11.53440844,12.17150871,11.89829871,11.01024921
Montenegro,30.31,24.825,19.4,17.15,19.09,19.65,19.76,19.81,19.59,18.05,17.55,17.73,16.08,15.19,15.13,17.88,16.54,15.252
Mongolia,7.017,7.19,7.2,5.56,5.86,6.55,4.77,3.9,4.23,4.8,4.86,7.24,6.36,5.38,5.736,6.59,7.75,6.21
Northern Mariana Islands,,,,,,,,,,,,,,,,,,
Mozambique,3.041,3.023,3.062,3.087,3.191,3.255,3.293,3.312,3.341,3.38,3.43,3.502,3.588,3.668,3.708,4.074,4.251,3.79
Mauritania,9.481,9.139,9.353,9.649,10.288,10.138,9.995,9.86,9.917,10.021,10.096,10.304,10.34,10.464,10.42,11.168,11.331,10.791
Mauritius,9.52,9.04,8.48,7.17,7.26,7.65,7.45,7.47,7.32,7.47,7.41,6.81,6.75,6.43,6.33,8.63,7.72,6.322
Malawi,4.923,4.947,4.846,4.745,4.663,4.724,4.787,4.94,4.98,4.958,4.935,5,5.041,4.999,4.924,5.736,5.757,5.114
Malaysia,3.53,3.32,3.23,3.32,3.66,3.39,3.05,3.1,3.16,2.88,3.1,3.44,3.41,3.3,3.26,4.54,4.083,3.629
North America,5.256235461,4.814820394,4.782802975,5.833046182,9.165749241,9.473890135,8.807963196,7.996111685,7.344821549,6.262943851,5.462341476,5.106578033,4.586487665,4.112589991,3.89321024,8.227088483,5.594155685,3.833702128
Namibia,22.109,21.78,22.114,21.969,22.303,22.12,19.488,16.77,19.03,18.52,20.752,23.35,21.783,19.88,19.957,21.146,21.148,19.988
New Caledonia,15.773,15.244,14.765,14.37,13.97,13.957,13.951,14.067,14.353,14.59,13.637,12.713,11.68,11.7,10.88,13.56,12.552,11.033
Niger,3.1,2.504,1.99,1.559,1.203,0.707,0.32,2.18,1.412,0.52,0.564,0.56,0.572,0.55,0.548,0.657,0.862,0.571
Nigeria,3.692,3.726,3.791,3.791,3.755,3.731,3.77,3.768,3.71,3.878,4.106,4.52,4.885,5.119,5.206,5.633,5.264,3.83
